hazard	title	url	source_hint	status	priority	task_angle
临时用电/外电防护	长清济南经济开发区雨污分流改造项目“10.9”一般触电事故调查报告	https://www.safehoo.com/Case/Case/Electric/202606/5808837.shtml	长清区应急管理局	benchmark_added	高	市政雨污分流改造吊装作业接近输电线路，测试外电防护和吊装复合风险
外电防护/脚手架	重庆酉阳资远建设工程有限公司“10·4”一般触电事故调查报告	https://www.safehoo.com/Case/Case/Electric/202606/5809132.shtml	重庆市应急管理局	benchmark_added	高	脚手架作业平台与10kV高压线距离不足，测试外电安全距离和隔离防护
装修临时用电	黄岛区“8·25”北京侨信装饰工程有限公司一般触电事故调查报告	https://www.safehoo.com/Case/Case/Electric/202605/5806963.shtml	青岛市应急管理局	benchmark_added	高	室内精装修吊顶内带电接线、无证电工作业、未断电验电
外电防护/吊装	辽宁众翔建设有限公司“10·14”一般触电事故调查报告	https://www.safehoo.com/Case/Case/Electric/202502/5763602.shtml	海原县应急管理局	benchmark_added	高	临时废料堆放场吊装作业碰触10kV线路，测试外电与起重交叉风险
装修临时用电	黄岛区“7·15”青岛平枝源装饰工程有限公司一般触电事故调查报告	https://www.safehoo.com/Case/Case/Electric/202605/5806734.shtml	青岛市应急管理局	benchmark_added	高	装修/新风安装夜间接线、无漏保、无证低压电工作业
装修临时用电	胶州青岛富居祥和装饰工程有限公司“7·16”一般触电事故调查报告	https://www.safehoo.com/Case/Case/Electric/202605/5806372.shtml	青岛市应急管理局	benchmark_added	高	装修后设备检修，未断电且无绝缘防护，无特种作业操作证
装修临时用电	光明新湖太阳公寓装修工程“6·20”一般触电事故调查报告	https://www.safehoo.com/Case/Case/Electric/202605/5805554.shtml	深圳市应急管理局	benchmark_added	高	小散装修工程触电，测试临时用电管理和隐患排查
装修临时用电	光明康佳光明科技中心A座602-1办公室装修工程“4·20”一般触电事故调查报告	https://www.safehoo.com/Case/Case/Electric/202605/5805550.shtml	深圳市应急管理局	benchmark_added	高	办公室装修吊顶接电，测试断电验电、持证电工和临电方案
装修临时用电	关于大浪街道佳利工业区三栋一楼装修工程“8·25”触电死亡事故的调查报告	https://www.safehoo.com/Case/Case/Electric/202604/5805449.shtml	深圳市应急管理局	benchmark_added	高	地面敷设临时导线无漏保、无地线且无防机械损伤措施
施工临时用电/焊接	黄岛区“9·14”青岛三杨起重机械有限公司一般触电事故调查报告	https://www.safehoo.com/Case/Case/Electric/202605/5806962.shtml	青岛市应急管理局	benchmark_added	中高	升降平台安装、电焊作业和临时用电设备检查
电力施工触电	重庆渝龙电力开发有限责任公司“6·13”触电事故调查报告	https://www.safehoo.com/Case/Case/Electric/202606/5809305.shtml	重庆市应急管理局	benchmark_added	中高	换杆换线作业未取得停电作业票，测试停电许可、监护和高处复合风险
